number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
24,3.4176530736474016,2026-08-04 11:50:16.031187,2026-08-04 11:50:16.199125,0 days 00:00:00.167938,0.5808431498603919,0.007574549777205278,3,16,506,63,0.027931713437817984,0.02772230088365572,0.9970932107936226,COMPLETE
25,3.6193384962159283,2026-08-04 11:50:16.199258,2026-08-04 11:50:16.305965,0 days 00:00:00.106707,0.7844881879948042,0.004495728206609814,4,8,613,57,9.517361082562406,0.267124089140782,0.9096745872286572,PRUNED
26,3.6049102244034605,2026-08-04 11:50:16.306075,2026-08-04 11:50:16.372635,0 days 00:00:00.066560,0.8819780928170102,0.003102261430413636,2,22,823,46,0.0029914903911153665,1.2430419173244565,0.831487859703077,PRUNED
27,3.6986134758169413,2026-08-04 11:50:16.372741,2026-08-04 11:50:16.441498,0 days 00:00:00.068757,0.6787999329558786,0.030780330748316265,3,16,655,18,0.06599616744390546,0.0006064091559401095,0.6556358831755204,PRUNED
28,3.6047228261168787,2026-08-04 11:50:16.441604,2026-08-04 11:50:16.559514,0 days 00:00:00.117910,0.5938758909112676,0.008209075693324706,4,31,986,51,3.4864240158610625e-06,4.8143982849862325e-05,0.8971232023948734,PRUNED
29,3.8687538709723555,2026-08-04 11:50:16.559622,2026-08-04 11:50:16.645723,0 days 00:00:00.086101,0.7601446988508316,0.06243903690617099,5,9,417,59,1.0937767123361575,2.4214046689982763e-07,0.40620906338145796,PRUNED
30,3.409520902025291,2026-08-04 11:50:16.645830,2026-08-04 11:50:16.775345,0 days 00:00:00.129515,0.8543324897192124,0.01595015108202813,2,27,551,39,0.0009211821741745486,0.024787006778181634,0.9187264205229493,COMPLETE
31,3.527896438147073,2026-08-04 11:50:16.775480,2026-08-04 11:50:16.871454,0 days 00:00:00.095974,0.8620635907600329,0.015627020448631644,2,36,541,38,7.253460398895123e-05,0.02250410301931924,0.9375147709799111,PRUNED
32,3.6867860044162715,2026-08-04 11:50:16.871560,2026-08-04 11:50:17.009469,0 days 00:00:00.137909,0.9445346830216197,0.010064645871074569,8,26,670,28,0.0010200996202597197,0.002041236263880261,0.9038725771546058,PRUNED
33,3.618415985518749,2026-08-04 11:50:17.009581,2026-08-04 11:50:17.054565,0 days 00:00:00.044984,0.7600891946807702,0.029090465570098277,2,28,467,7,0.010954961047047077,8.667446675698729e-08,0.8260275822931169,PRUNED
34,3.650798139672645,2026-08-04 11:50:17.054675,2026-08-04 11:50:17.141754,0 days 00:00:00.087079,0.6804532774009381,0.017904997822623697,3,15,759,33,0.36436042693892917,0.012880180669149376,0.8855956149871257,PRUNED
35,3.587704953230161,2026-08-04 11:50:17.141869,2026-08-04 11:50:17.191222,0 days 00:00:00.049353,0.8092782217186797,0.005417905789801317,2,22,539,42,3.393919865398478e-06,0.05465564423392593,0.9421226357167467,PRUNED
36,3.5330300628727422,2026-08-04 11:50:17.191338,2026-08-04 11:50:17.378654,0 days 00:00:00.187316,0.9015471074817938,0.009988675413119945,7,12,428,13,5.61877851477268e-05,0.3713894091786736,0.9722718758515186,PRUNED
37,3.6178261652958312,2026-08-04 11:50:17.378766,2026-08-04 11:50:17.457768,0 days 00:00:00.079002,0.8476650047222667,0.019364616602886738,3,11,701,20,2.468172898771592e-07,0.00019634568277692466,0.8329510173678427,PRUNED
38,3.6885428198239394,2026-08-04 11:50:17.457880,2026-08-04 11:50:17.492063,0 days 00:00:00.034183,0.7261257082256277,0.0066749248790608446,2,21,313,56,0.04887402694928946,0.0013559586982186242,0.5057281923075897,PRUNED
39,3.712291454210405,2026-08-04 11:50:17.492169,2026-08-04 11:50:17.554590,0 days 00:00:00.062421,0.9496718516491152,0.040877598816597804,3,14,554,25,0.00253523467768042,2.7044527503884255,0.9284463757532524,PRUNED
40,3.6654870390894416,2026-08-04 11:50:17.554700,2026-08-04 11:50:17.628144,0 days 00:00:00.073444,0.501014388376901,0.02634115256694527,2,28,909,47,1.7372140276006827e-08,1.0305050066959612e-08,0.6131880317630213,PRUNED
41,3.5846144401034112,2026-08-04 11:50:17.628250,2026-08-04 11:50:17.689836,0 days 00:00:00.061586,0.7270743251434433,0.012599037068503054,2,24,734,34,2.8917994302298085,0.008521537345361806,0.739309987935229,PRUNED
42,3.5964368463546155,2026-08-04 11:50:17.689951,2026-08-04 11:50:17.743583,0 days 00:00:00.053632,0.7726326637065275,0.013551366969971819,2,19,624,38,0.36371457764706794,0.12511640954344902,0.7675910243775833,PRUNED
43,3.4051888817609175,2026-08-04 11:50:17.743688,2026-08-04 11:50:17.898839,0 days 00:00:00.155151,0.6987232806471608,0.009466600732240994,2,26,705,42,0.24250267667565162,0.003913233716323086,0.8653295275257943,COMPLETE
44,3.5310110209691716,2026-08-04 11:50:17.898972,2026-08-04 11:50:18.063687,0 days 00:00:00.164715,0.7013231919010188,0.004913534350733487,3,30,680,40,0.12172044564102773,4.890716764691369e-06,0.9732062588152068,PRUNED
45,3.523877985246035,2026-08-04 11:50:18.063795,2026-08-04 11:50:18.156499,0 days 00:00:00.092704,0.655477032857118,0.009890670735742759,2,36,505,48,0.007296542644601128,9.228810123032189e-05,0.8697600529145117,PRUNED
46,3.408426177243123,2026-08-04 11:50:18.156605,2026-08-04 11:50:18.379382,0 days 00:00:00.222777,0.6132509816148635,0.0068604339346201885,3,26,777,42,0.0005795868191299379,0.003966964643641388,0.9539482222689031,COMPLETE
47,3.4201264123827406,2026-08-04 11:50:18.379538,2026-08-04 11:50:18.592687,0 days 00:00:00.213149,0.6101991381807511,0.006700538404518378,3,34,769,50,0.0006011621430763107,0.002317327034993502,0.8513187219483435,PRUNED
48,3.590824280570441,2026-08-04 11:50:18.592795,2026-08-04 11:50:18.718034,0 days 00:00:00.125239,0.5460699164614318,0.0037248364761070236,4,27,874,41,6.045379436190261e-06,0.0635304491318166,0.9947060892171231,PRUNED
49,3.9957721527451406,2026-08-04 11:50:18.718144,2026-08-04 11:50:18.779436,0 days 00:00:00.061292,0.9678890848981156,0.14785823265241077,3,41,572,44,5.433764364996839e-05,0.00030758729933402394,0.9543692492258748,PRUNED
